Player,Initial window,Window factor,Average evaluations,Min evaluations,Q1 evaluations,Median evaluations,Q3 evaluations,Maxevaluations,Average time (ms),Min time,Q1 time,Median time,Q3 time,Max time
MAsT_IEV_MI_5,200,3.0,370833,237665,324904,362204,410643,1289076,101.485,72.165,90.650,99.238,110.061,255.397
MAsT_IEV_MI_5,200,3.5,371443,221963,330229,366403,406139,655673,101.731,66.817,92.241,99.986,109.997,157.939
MAsT_IEV_MI_5,200,4.0,372619,208888,327029,366788,406451,738316,101.656,66.782,91.395,100.312,109.984,171.049
MAsT_IEV_MI_5,200,4.5,375539,240254,324247,366925,413696,1024220,102.531,69.936,91.669,100.437,110.963,219.594
MAsT_IEV_MI_5,200,5.0,370451,222822,327844,359989,409079,630866,101.453,66.264,91.741,100.244,109.770,181.380
MAsT_IEV_MI_5,200,6.0,372905,211656,329178,367592,406413,769559,101.537,66.327,91.302,99.928,109.884,178.066
MAsT_IEV_MI_5,200,7.0,372240,244182,328401,364591,405775,685409,101.460,73.032,91.591,99.409,109.653,173.505
MAsT_IEV_MI_5,200,8.0,372511,240767,322886,362787,409125,750821,101.379,70.055,91.354,99.250,109.641,173.016
MAsT_IEV_MI_5,200,9.0,371295,221766,326550,364752,406980,641011,100.885,67.054,91.376,99.337,108.588,164.749
MAsT_IEV_MI_5,200,10.0,377568,242429,329968,369674,415254,745282,101.878,71.368,92.050,100.518,109.754,176.628
MAsT_IEV_MI_5,200,20.0,370256,222100,326446,366286,406659,652412,100.536,65.576,91.106,99.201,108.051,166.658
MAsT_IEV_MI_5,200,50.0,373596,252929,329111,366775,408647,649505,100.963,72.732,91.754,99.480,108.758,184.349
MAsT_IEV_MI_5,200,100.0,386893,227975,340167,378246,424516,706530,102.964,68.716,93.293,101.153,110.431,159.944
MAsT_IEV_MI_5,200,200.0,387397,244693,338704,378559,426286,791909,103.237,68.929,93.524,101.449,111.202,167.012
MAsT_IEV_MI_5,200,500.0,389628,248560,342758,380781,425412,763686,103.683,67.716,93.586,102.069,111.504,180.604
MAsT_IEV_MI_5,200,1000.0,390267,234197,343164,381502,427716,842479,103.486,67.089,93.898,102.322,110.763,174.632
MAsT_IEV_MI_5,500,1.0,432791,235598,362491,421311,490857,951823,116.454,73.399,100.580,113.975,128.640,215.229
MAsT_IEV_MI_5,500,1.1,395077,242628,341135,385706,440515,713109,107.984,73.654,94.890,105.350,117.769,208.270
MAsT_IEV_MI_5,500,1.2,385980,222775,336056,378017,429348,748346,105.875,70.640,94.114,103.615,115.627,182.459
